Short Name (Abbreviated Name),Long Name,Revenue
AL,Algoma,11179429
BR,Brant,12604038
BU,Bruce,8925795
CK,Chatham-Kent,16569213
CO,Cochrane,17108732
DU,Dufferin,7398071
DR,Durham,18203742
EL,Elgin,18018244
ES,Essex,6442685
FR,Frontenac,10086169
GS,Greater Sudbury,12107512
GR,Grey,17650468
HA,Haldimand,16969685
HL,Haliburton,19442366
HT,Halton,8163104
HM,Hamilton,9642499
HS,Hastings,14484131
HU,Huron,6917283
KL,Kawartha Lakes,17199214
KE,Kenora,8105516
LA,Lambton,18532510
LN,Lanark,18670689
LG,Leeds and Grenville,5470453
LE,Lennox and Addington,7562959
MA,Manitoulin,15386147
MI,Middlesex,13430138
MU,Muskoka,15234037
NI,Niagara,18975047
NP,Nipissing,10616920
NO,Norfolk,12825874
NR,Northumberland,13848306
OT,Ottawa,12089370
OX,OXF,5399421
PS,Parry Sound,18156972
PE,Peel,7309487
PR,Perth,13150092
PT,Peterborough,12708312
PC,Prescott and Russell,15715624
PN,Prince Edward,10766018
RA,Rainy River,10942453
RE,Renfrew,10749485
SI,Simcoe,15674870
ST,"Stormont, Dundas and Glengary",16195719
SU,Sudbury,17165515
TB,Thunder Bay,7728745
TI,Timiskaming,15224355
TO,TOR,11683023
WA,Waterloo,11052112
WE,Wellington,16423432
YO,YOR,10861436
